competency_id,track,module,level,claim,evidence_required,readiness_gate,official_scope,nice_mapping,status
CEH-M14-L2,CEH,M14 Hacking Web Applications,L2 evidence interpretation,Learner can identify common application and API weakness evidence and safe remediation direction.,Accepted WP-2026-W40 evidence plus intentionally vulnerable local behavior analysis plus posttest.,module_choice_posttest;preclass_form_b,UUU CEH13-AI module 14,pending,pilot
CEH-M15-L2,CEH,M15 SQL Injection,L2 evidence interpretation,Learner can select evidence-based interpretations of injection evidence testing methodology parameterization validation and least privilege.,Accepted WP-2026-W40 evidence plus local vulnerable and parameterized query comparison plus posttest.,module_choice_posttest;preclass_form_b,UUU CEH13-AI module 15,pending,pilot
CEH-M16-L2,CEH,M16 Hacking Wireless Networks,L2 evidence interpretation,Learner can select evidence-based interpretations of wireless authentication encryption traffic rogue-access and Bluetooth risks.,Accepted WP-2026-W40 evidence plus supplied capture or configuration analysis plus posttest.,module_choice_posttest;preclass_form_b,UUU CEH13-AI module 16,pending,pilot
CEH-M17-L2,CEH,M17 Hacking Mobile Platforms,L2 threat modeling,Learner can identify mobile application device data permission update and management controls.,Accepted WP-2026-W41 evidence plus toy mobile data-flow threat model plus posttest.,module_choice_posttest;preclass_form_b,UUU CEH13-AI module 17,pending,pilot
CEH-M18-L2,CEH,M18 IoT and OT Hacking,L2 threat modeling,Learner can identify device firmware traffic segmentation ICS and SCADA safety boundaries and human stop authority.,Accepted WP-2026-W41 evidence plus synthetic IoT or OT trust-boundary exercise plus posttest.,module_choice_posttest;preclass_form_b,UUU CEH13-AI module 18,pending,pilot
CEH-M19-L2,CEH,M19 Cloud Computing,L2 evidence interpretation,Learner can select evidence-based interpretations of shared responsibility IAM storage network workload container serverless and logging controls.,Accepted WP-2026-W41 evidence plus synthetic IAM and storage-policy review plus posttest.,module_choice_posttest;preclass_form_b,UUU CEH13-AI module 19,pending,pilot
CEH-M20-L2,CEH,M20 Cryptography,L2 evidence interpretation,Learner can select evidence-based interpretations of hashes encryption PKI certificates key stretching attacks and common misuse.,Accepted WP-2026-W41 evidence plus local integrity encryption and certificate evidence plus posttest.,module_choice_posttest;preclass_form_b,UUU CEH13-AI module 20,pending,pilot
CEHP-P1-L3,CEHP,P1 Network and Vulnerability Scanning,L3 practical workflow,Learner can turn scan output into risk and next authorized action.,Accepted WP-2026-W46 evidence plus lab finding note records target evidence risk authorization boundary and next step.,cehp_readiness_gate,UUU CEHP review area P1,pending,pilot
CEHP-P2-L3,CEHP,P2 Network Service Banner Grabbing and Enumeration,L3 practical workflow,Learner can turn authorized service discovery into bounded enumeration evidence.,Accepted WP-2026-W46 evidence plus lab finding note records service evidence scope boundary risk and next step.,cehp_readiness_gate,UUU CEHP review area P2,pending,pilot
CEHP-P3-L3,CEHP,P3 Network Traffic Analysis,L3 practical workflow,Learner can interpret authorized traffic evidence and identify defensible next actions.,Accepted WP-2026-W46 evidence plus packet-analysis note records provenance observation confidence risk and next step.,cehp_readiness_gate,UUU CEHP review area P3,pending,pilot
CEHP-P4-L3,CEHP,P4 System Attack Analysis,L3 practical workflow,Learner can analyze a bounded system attack path and preserve containment and cleanup evidence.,Accepted WP-2026-W46 evidence plus authorized scenario note records attack evidence scope stop condition containment and next step.,cehp_readiness_gate,UUU CEHP review area P4,pending,pilot
CEHP-P5-L3,CEHP,P5 Website Attack Analysis,L3 practical workflow,Learner can analyze a bounded website weakness and demonstrate the minimum safe proof and remediation.,Accepted WP-2026-W46 evidence plus local web finding records request response impact scope remediation and retest.,cehp_readiness_gate,UUU CEHP review area P5,pending,pilot
